Date,WD,value
6/16/12,4150,A:e
6/17/12,4000,A:e
6/18/12,4350,A:e
6/19/12,3990,A:e
6/20/12,4040,A:e
6/21/12,4430,A:e
6/22/12,4090,A:e
6/23/12,4210,A:e
6/24/12,3530,A:e
6/25/12,3750,A:e
6/26/12,3370,A:e
6/27/12,3210,A:e
6/28/12,3210,A:e
6/29/12,2840,A:e
6/30/12,2920,A:e
7/1/12,2800,A:e
7/2/12,2580,A:e
7/3/12,2840,A:e
7/4/12,3180,A:e
7/5/12,3430,A:e
7/6/12,3650,A:e
7/7/12,3270,A:e
7/8/12,2770,A:e
7/9/12,3060,A:e
7/10/12,3020,A:e
7/11/12,2610,A:e
7/12/12,2840,A:e
7/13/12,4030,A:e
7/14/12,5460,A:e
7/15/12,4970,A:e
7/16/12,4010,A:e
7/17/12,4490,A:e
7/18/12,4490,A:e
7/19/12,4440,A:e
7/20/12,5160,A:e
7/21/12,4900,A:e
7/22/12,4750,A:e
7/23/12,5710,A:e
7/24/12,5230,A:e
7/25/12,7080,A:e
7/26/12,6870,A:e
7/27/12,14900,A
7/28/12,13900,A
7/29/12,10300,A:e
7/30/12,7450,A:e
7/31/12,6300,A:e
8/1/12,8070,A:e
8/2/12,10600,A:e
8/3/12,6900,A:e
8/4/12,6150,A:e
8/5/12,5690,A:e
8/6/12,5000,A:e
8/7/12,8850,A:e
8/8/12,7410,A:e
8/9/12,5860,A:e
8/10/12,4860,A:e
8/11/12,5760,A:e
8/12/12,4310,A:e
8/13/12,4190,A:e
8/14/12,3870,A:e
8/15/12,3590,A:e
8/16/12,3100,A:e
8/17/12,3000,A:e
8/18/12,3000,A:e
8/19/12,2960,A:e
8/20/12,3000,A:e
8/21/12,3200,A:e
8/22/12,2930,A:e
8/23/12,2610,A:e
8/24/12,2500,A:e
8/25/12,2590,A:e
8/26/12,2850,A:e
8/27/12,3450,A:e
8/28/12,3300,A:e
8/29/12,2790,A:e
8/30/12,2500,A:e
8/31/12,2350,A:e
9/1/12,2430,A:e
9/2/12,2480,A:e
9/3/12,2660,A:e
9/4/12,3220,A:e
9/5/12,3450,A:e
9/6/12,3520,A:e
9/7/12,4840,A:e
9/8/12,4610,A:e
9/9/12,5800,A:e
9/10/12,4950,A:e
9/11/12,4060,A:e
9/12/12,2990,A:e
9/13/12,2600,A:e
9/14/12,2880,A:e
9/15/12,3240,A:e
9/16/12,3270,A:e
9/17/12,3330,A:e
9/18/12,4490,A:e
9/19/12,9720,A:e
9/20/12,11600,A
9/21/12,14300,A
9/22/12,7700,A:e
9/23/12,5850,A:e
9/24/12,4620,A:e
9/25/12,3730,A:e
9/26/12,3050,A:e
9/27/12,2830,A:e
9/28/12,4120,A:e
9/29/12,6400,A:e
9/30/12,5850,A:e
10/1/12,6220,A:e
10/2/12,4590,A:e
10/3/12,6440,A:e
10/4/12,6630,A:e
10/5/12,9440,A:e
10/6/12,9140,A:e
10/7/12,7300,A:e
10/8/12,7160,A:e
10/9/12,4870,A:e
10/10/12,4430,A:e
10/11/12,4980,A:e
10/12/12,4240,A:e
10/13/12,4530,A:e
10/14/12,6130,A:e
10/15/12,3960,A:e
10/16/12,3370,A:e
10/17/12,3480,A:e
10/18/12,3560,A:e
10/19/12,3720,A:e
10/20/12,3900,A:e
10/21/12,4210,A:e
10/22/12,4220,A:e
10/23/12,3420,A:e
10/24/12,3410,A:e
10/25/12,3450,A:e
10/26/12,3120,A:e
10/27/12,2820,A:e
10/28/12,2770,A:e
10/29/12,3600,A:e
10/30/12,11700,A:e
10/31/12,16900,A:e
11/1/12,16800,A:e
11/2/12,17200,A:e
11/3/12,14800,A:e
11/4/12,13800,A:e
11/5/12,14700,A:e
11/6/12,14400,A:e
11/7/12,13000,A:e
11/8/12,12100,A:e
11/9/12,12500,A:e
11/10/12,12100,A:e
11/11/12,11200,A:e
11/12/12,13800,A:e
11/13/12,19400,A:e
11/14/12,23400,A:e
11/15/12,21100,A:e
11/16/12,18200,A:e
11/17/12,12800,A:e
11/18/12,10200,A:e
11/19/12,9430,A:e
11/20/12,8130,A:e
11/21/12,7080,A:e
11/22/12,4830,A:e
11/23/12,3960,A:e
11/24/12,3680,A:e
11/25/12,3470,A:e
11/26/12,3280,A:e
11/27/12,3220,A:e
11/28/12,3190,A:e
11/29/12,4060,A:e
11/30/12,5370,A
12/1/12,5420,A
12/2/12,6390,A
12/3/12,6270,A
12/4/12,6690,A
12/5/12,7870,A
12/6/12,8780,A
12/7/12,8500,A
12/8/12,9690,A
12/9/12,14900,A
12/10/12,22900,A
12/11/12,31400,A
12/12/12,26900,A
12/13/12,20600,A
12/14/12,15600,A
12/15/12,11900,A
12/16/12,8990,A
12/17/12,7980,A
12/18/12,9690,A
12/19/12,13100,A
12/20/12,12700,A
12/21/12,16600,A
12/22/12,19700,A
12/23/12,19900,A
12/24/12,17900,A
12/25/12,16900,A
12/26/12,21200,A
12/27/12,32200,A
12/28/12,37000,A
12/29/12,32600,A
12/30/12,25500,A
12/31/12,21100,A
1/1/13,16600,A
1/2/13,15300,A
1/3/13,12300,A
1/4/13,11600,A
1/5/13,10800,A
1/6/13,9710,A
1/7/13,9910,A
1/8/13,8830,A
1/9/13,8340,A
1/10/13,8150,A
1/11/13,9730,A
1/12/13,13000,A
1/13/13,16000,A
1/14/13,24200,A
1/15/13,25700,A
1/16/13,72400,A
1/17/13,102000,A
1/18/13,87400,A:e
1/19/13,67500,A
1/20/13,54900,A
1/21/13,43100,A
1/22/13,28900,A
1/23/13,26400,A
1/24/13,20500,A
1/25/13,15900,A
1/26/13,13100,A
1/27/13,12200,A
1/28/13,11600,A
1/29/13,16300,A
1/30/13,23100,A
1/31/13,90400,A
2/1/13,123000,A
2/2/13,94400,A
2/3/13,75400,A
2/4/13,62100,A
2/5/13,46400,A
2/6/13,34600,A
2/7/13,28200,A
2/8/13,24900,A
2/9/13,22900,A
2/10/13,20200,A
2/11/13,18800,A
2/12/13,19100,A
2/13/13,18600,A
2/14/13,19500,A
2/15/13,19200,A
2/16/13,16400,A
2/17/13,15700,A
2/18/13,14200,A
2/19/13,14500,A
2/20/13,14600,A
2/21/13,11700,A
2/22/13,12800,A
2/23/13,11200,A
2/24/13,9950,A
2/25/13,10800,A
2/26/13,11000,A
2/27/13,13100,A
2/28/13,17100,A
3/1/13,19200,A
3/2/13,18700,A
3/3/13,14700,A
3/4/13,14100,A
3/5/13,11800,A
3/6/13,16400,A
3/7/13,20700,A
3/8/13,19500,A
3/9/13,20100,A
3/10/13,16000,A
3/11/13,16800,A
3/12/13,21400,A
3/13/13,31100,A
3/14/13,37600,A
3/15/13,29600,A
3/16/13,23500,A
3/17/13,22300,A
3/18/13,26800,A
3/19/13,35900,A
3/20/13,34600,A
3/21/13,31400,A
3/22/13,24700,A
3/23/13,21900,A
3/24/13,17200,A
3/25/13,20500,A
3/26/13,23700,A
